EIN,Name,Address,City,State,Zip,Revenue,
951648219,ZOOLOGICAL SOCIETY OF SAN DIEGO,PO BOX 120551,SAN DIEGO,CA,92112-0551,"$294,950,888",
131740011,WILDLIFE CONSERVATION SOCIETY,2300 SOUTHERN BLVD,BRONX,NY,10460-1068,"$253,680,190",
363297716,OMAHA ZOO FOUNDATION,3701 S 10TH ST,OMAHA,NE,68107-2299,"$121,645,586",
942487469,MONTEREY BAY AQUARIUM FOUNDATION,886 CANNERY ROW,MONTEREY,CA,93940-1023,"$100,827,641",
362167918,SHEDD AQUARIUM SOCIETY,1200 S LAKE SHORE DR,CHICAGO,IL,60605-2402,"$82,931,011",
582574918,GEORGIA AQUARIUM INC,225 BAKER ST NW,ATLANTA,GA,30313-1809,"$78,679,470",
362167016,CHICAGO ZOOLOGICAL SOCIETY,3300 GOLF RD,BROOKFIELD,IL,60513-1060,"$75,972,435",
314390844,COLUMBUS ZOOLOGICAL PARK ASSOCIATION,PO BOX 400,POWELL,OH,43065-0400,"$68,790,640",
750991727,FORT WORTH ZOOLOGICAL ASSOCIATION INC,1989 COLONIAL PKWY,FORT WORTH,TX,76110-6640,"$55,009,360",
521121163,NATIONAL AQUARIUM INC,501 EAST PRATT,BALTIMORE,MD,21202-3574,"$52,007,376",
741590271,HOUSTON ZOO INC,1513 CAMBRIDGE ST,HOUSTON,TX,77030-1603,"$51,829,881",
386027356,DETROIT ZOOLOGICAL SOCIETY,8450 W TEN MILE ROAD,ROYAL OAK,MI,48067-0000,"$44,269,214",
470469782,OMAHA ZOOLOGICAL SOCIETY INC,3701 S 10TH ST,OMAHA,NE,68107-2299,"$43,182,807",
362512404,LINCOLN PARK ZOOLOGICAL SOCIETY,2001 N CLARK ST,CHICAGO,IL,60614-4712,"$42,319,087",
421661145,FRESNOS CHAFFEE ZOO CORPORATION,894 W BELMONT AVE,FRESNO,CA,93728-2807,"$41,629,807",
42297514,NEW ENGLAND AQUARIUM CORPORATION,CENTRAL WHARF,BOSTON,MA,02110-0000,"$41,538,810",
231352298,ZOOLOGICAL SOCIETY OF PHILADELPHIA,3400 W GIRARD AVE,PHILADELPHIA,PA,19104-1139,"$40,857,569",
351074747,INDIANAPOLIS ZOOLOGICAL SOCIETY INC,1200 W WASHINGTON ST,INDIANAPOLIS,IN,46222-4552,"$39,816,954",
310537171,ZOOLOGICAL SOCIETY OF CINCINNATI,3400 VINE ST,CINCINNATI,OH,45220-1333,"$39,124,139",
330532354,AQUARIUM OF THE PACIFIC,100 AQUARIUM WAY,LONG BEACH,CA,90802-8126,"$34,676,545",
840502539,DENVER ZOOLOGICAL FOUNDATION INC,2300 N STEELE ST,DENVER,CO,80205-5715,"$33,578,229",
916070005,WOODLAND PARK ZOOLOGICAL SOCIETY,5500 PHINNEY AVE N,SEATTLE,WA,98103-5865,"$33,341,893",
344440256,TOLEDO ZOOLOGICAL SOCIETY,PO BOX 140130,TOLEDO,OH,43614-0130,"$31,157,890",
436048888,FRIENDS OF THE ZOO INC OF KANSAS CITY MO,6800 ZOO DR,KANSAS CITY,MO,64132-1711,"$26,825,266",
237044950,TEXAS STATE AQUARIUM ASSOCIATION,2710 N SHORELINE BLVD,CORP CHRISTI,TX,78402-1004,"$25,061,777",
860174843,ARIZONA CENTER FOR NATURE CONSERVATION,455 N GALVIN PKWY,PHOENIX,AZ,85008-3431,"$24,513,760",
941429538,SAN FRANCISCO ZOOLOGICAL SOCIETY,1 ZOO RD,SAN FRANCISCO,CA,94132-1027,"$23,499,133",
270777846,DALLAS ZOO MANAGEMENT INC,650 S R L THORNTON FWY,DALLAS,TX,75203-3013,"$22,733,776",
621411210,NASHVILLE ZOO INC,3777 NOLENSVILLE ROAD,NASHVILLE,TN,37211-3324,"$22,386,320",
581655184,ATLANTA-FULTON COUNTY ZOO INC,800 CHEROKEE AVE SE,ATLANTA,GA,30315-1470,"$21,997,547",
592086737,CLEARWATER MARINE AQUARIUM INC,249 WINDWARD PASSAGE,CLEARWATER,FL,33767-2244,"$21,393,581",
237236155,MEMPHIS ZOO INC,2000 PRENTISS PL,MEMPHIS,TN,38112-5033,"$21,004,239",
581837154,TENNESSEE AQUARIUM,PO BOX 11048,CHATTANOOGA,TN,37401-2048,"$20,742,080",
741323695,SAN ANTONIO ZOOLOGICAL SOCIETY INC,3903 N SAINT MARYS ST,SAN ANTONIO,TX,78212-3199,"$20,698,061",
251418766,ZOOLOGICAL SOCIETY OF PITTSBURGH,1 HILL RD,PITTSBURGH,PA,15206-1178,"$20,656,407",
61480300,SEA RESEARCH FOUNDATION INC,55 COOGAN BLVD,MYSTIC,CT,06355-1927,"$20,243,302",
941687847,EAST BAY ZOOLOGICAL SOCIETY,9777 GOLF LINKS RD,OAKLAND,CA,94605-4925,"$19,678,767",
431727309,THE SAINT LOUIS ZOO FOUNDATION,1 GOVERNMENT DR,SAINT LOUIS,MO,63110-1332,"$18,385,672",
