address,city,country,name,name_url,num_animals,num_species,state
2070 Zoo Ln,Abilene,United States,Abilene Zoological Gardens,https://en.wikipedia.org/wiki/Abilene_Zoological_Gardens,1100,1100,Texas
701 Whirlpool Street,New York,United States,Aquarium of Niagara,https://en.wikipedia.org/wiki/Aquarium_of_Niagara,,,New York
2595 Roblin Blvd,Winnipeg,Canada,Assiniboine Park Zoo,https://en.wikipedia.org/wiki/Assiniboine_Park_Zoo,200,200,Manitoba
500 Edgewood Ave,Akron,United States,Akron Zoological Park,https://en.wikipedia.org/wiki/Akron_Zoo,700,700,Ohio
11 Oriente #2407,Puebla,Mexico,Africam Safari Park,https://en.wikipedia.org/wiki/Africam_Safari_Park,2500,2500,Puebla
1 Riverside Dr,Camden,United States,Adventure Aquarium,https://en.wikipedia.org/wiki/Adventure_Aquarium,,,New Jersey
2021 N Kinney Rd,Tucson,United States,Arizona-Sonora Desert Museum,https://en.wikipedia.org/wiki/Arizona-Sonora_Desert_Museum,"12,370","12,370",Arizona
267 S Lightner Road,Port Clinton,United States,African Safari Wildlife Park,https://en.wikipedia.org/wiki/African_Safari_Wildlife_Park,50,50,Ohio
3016 Masonic Dr,Alexandria,United States,Alexandria Zoological Park,https://en.wikipedia.org/wiki/Alexandria_Zoological_Park,500,500,Louisiana
301 Railway Avenue,Seward,United States,Alaska SeaLife Center,https://en.wikipedia.org/wiki/Alaska_SeaLife_Center,,,Alaska
100 Aquarium Way,Long Beach,United States,Aquarium of the Pacific,https://en.wikipedia.org/wiki/Aquarium_of_the_Pacific,"11,000","11,000",California
6500 Magazine St,New Orleans,United States,Audubon Zoo,https://en.wikipedia.org/wiki/Audubon_Zoo,"2,000","2,000",Louisiana
216 Forest Ave,Paramus,United States,Bergen County Zoological Park,https://en.wikipedia.org/wiki/Bergen_County_Zoological_Park,,,New Jersey
903 10th St SW,Albuquerque,United States,Albuquerque Biological Park,https://en.wikipedia.org/wiki/Albuquerque_Biological_Park,,,New Mexico
The Embarcadero at Beach St ,San Francisco,United States,Aquarium of the Bay,https://en.wikipedia.org/wiki/Aquarium_of_the_Bay,,,California
1 Canal St,New Orleans,United States,Audubon Aquarium of the Americas,https://en.wikipedia.org/wiki/Aquarium_of_the_Americas,"10,000","10,000",Louisiana
,Nassau,,Atlantis Paradise Island,https://en.wikipedia.org/wiki/Atlantis_Paradise_Island,,,Bahamas
1 Wild Pl,Birmingham,United States,Birmingham Zoo,https://en.wikipedia.org/wiki/Birmingham_Zoo,~800,~800,Alabama
3755 NW Hwy 17-92,Sanford,United States,Central Florida Zoological Park,https://en.wikipedia.org/wiki/Central_Florida_Zoo_and_Botanical_Gardens,400,400,Florida
8450 W 10 Mile Rd,Royal Oak,United States,Detroit Zoo,https://en.wikipedia.org/wiki/Detroit_Zoo,"2,000+","2,000+",Michigan
2300 Steele Street,Denver,United States,Denver Zoo,https://en.wikipedia.org/wiki/Denver_Zoo,"3,500 (2018)","3,500 (2018)",Colorado
